millis,sync4_train_start,bnc_interval_ms,sync4_interval_ms,,,,,
3522093.23,44:27.7,236019.21,236019,0.21,,,,
3522160.09,44:27.8,66.86,67,-0.14,,,,
3522364.16,44:28.0,204.07,204,0.07,,,,
3522431.04,44:28.0,66.88,67,-0.12,,,,
3553126.83,44:58.7,30695.79,30696,-0.21,,,,
3553193.69,44:58.8,66.86,67,-0.14,,,,
3553689.2,44:59.3,495.51,495,0.51,,,,
3553756.05,44:59.4,66.85,67,-0.15,,,,
3554864.14,45:00.5,1108.09,1108,0.09,,,,
3554931.01,45:00.5,66.87,67,-0.13,,,,
3737519.42,48:03.1,182588.41,182589,-0.59,,,,
